Paralympics an example for gloomy France-Juppe .
PARIS 1996-08-27
Prime Minister Alain Juppe on Tuesday hailed handicapped athletes who took part in Atlanta 's Paralympic Games as an example for gloom-stricken France .
" What we hear every morning is gloom , resignation and scepticism ...
You are the opposite , " Juppe told a successful French team at Paris airport as he welcomed them back from the games which followed the July-August Olympics .
" If you had been struck ...
by the disease of scepticism , gloom and resignation , you would not be here .
You are a true example for the nation , " he said .
The French team won 95 medals in Atlanta , 35 of them gold .
Opinion polls consistently show French voters pessimistic and fed up as the economy stagnates and unemployement lingers at near-record levels .
%%TYPE_ANNOTATIONS%%
0	10	Paralympic_Games
49	53	Paris
81	91	Alain_Juppé
149	155	Atlanta
160	175	Paralympic_Games
210	215	France
339	344	France
354	358	Paris
439	446	1996_Summer_Olympics
614	619	France
643	649	Atlanta
703	708	France
